Group,Concentration
Control,0.112074074
Control,0.0765
Control,0.088375451
Control,0.060139785
Control,0.030888136
Control,0.057044444
Control,0.046336933
Control,0.073281553
DSS,0.060532143
DSS,0.093604938
DSS,0.063923706
DSS,0.061701439
DSS,0.086014925
DSS,0.121197279
DSS,0.096824147
P.goldsteinii,0.246303846
P.goldsteinii,0.031284345
P.goldsteinii,0.030175
P.goldsteinii,0
P.goldsteinii,0.345617391
P.goldsteinii,0.118908108
P.goldsteinii,0.017204819
P.goldsteinii,0.236587013
P.goldsteinii,0.036735632
